"ref","init.ent","init.check","source","source.sub","trt1","trt2","descrip","country","season","stor.type1","stor.type2","stor.mat","stor.scale","c.TAN","c.TN","DM","pH","air.temp","slurry.temp","wind","flux","units","meas.tech","meas.descrip","notes1","notes2","notes3","cf","id","pH.mean","cNH3","cNH3.g","cNH3.mpH","cNH3.g.mpH","tc0","tca","tcb","tcc","tcd","tce","tcf"
"VanderZaag et al. 2009","SGS","","Cattle","Dairy","","","Slurry","Canada","October","Tank","Walled","Concrete","Pilot",1,2.5,1.8,6.8,10,"12.0",NA,0.576470588235294,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel Pilot scale","","","",0.823529411764706,18,7.52307692307692,0.000924183932635694,0.000311569695701753,0.00486574735807631,0.00164038712444814,0.576470588235294,0.230588235294118,0.576470588235294,623.761751182202,118.475240453751,1850.21392063468,351.423502198744
"Sommer et al. 1993","SGS","TV","Pig","","","","Slurry","Denmark","Sept-Dec","Tank","Walled","Concrete","Pilot",4.1,5.8,4.6,7.3,7,"10.0",4.4,3.21176470588235,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel Pilot scale","TV added 'pilot scale' as per cattle slurry expts in same paper","","",0.823529411764706,22,7.65912280701754,0.00801561075427543,0.00233305138086936,0.0182817941417498,0.00532116221392468,3.21176470588235,0.553752535496957,0.783357245337159,400.6887066178,175.681045360187,1376.63693659655,603.583310705629
"Sommer et al. 1993","SGS","TV","Pig","","","","Slurry","Denmark","Febr-June","Tank","Walled","Concrete","Pilot",4.2,6.1,7.4,7.4,6,"7.0",4,3.78823529411765,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel Pilot scale","TV added 'pilot scale' as per cattle slurry expts in same paper","","",0.823529411764706,23,7.65912280701754,0.00974027730185424,0.00269769584748992,0.0176576834598678,0.00489052394195272,3.78823529411765,0.621022179363549,0.901960784313725,388.92478896843,214.537501633638,1404.24848028825,774.607248442394
"Petersen et al. 2013","SGS","","Pig","","","","Slurry","Denmark","Winter","Tank","Walled","PVC","Pilot",2.4,3.5,3,7.5,2.5,NA,NA,0.741176470588235,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel - pilot scale","","Start charactyerisation used","",0.823529411764706,24,7.65912280701754,0.00550593566601716,0.00127812351205329,0.00793462628987112,0.00184190899342209,0.741176470588235,0.211764705882353,0.308823529411765,134.614081156597,93.4103817257755,579.894246212201,402.395815013205
"Petersen et al. 2013","SGS","","Pig","","","","Slurry","Denmark","Winter+rain","Tank","Walled","PVC","Pilot",2,3.1,3.5,7.4,2.5,NA,NA,0.411764705882353,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel - pilot scale","","Start charactyerisation used","",0.823529411764706,25,7.65912280701754,0.00375479185085669,0.00087162074505632,0.00680874534605434,0.00158055197921893,0.411764705882353,0.132827324478178,0.205882352941176,109.663790228054,60.4758564103106,472.41269579437,260.519559809629
"Petersen et al. 2013","SGS","","Pig","","","","Slurry","Denmark","Summer","Tank","Walled","PVC","Pilot",4.2,6.2,7.4,7.2,15,NA,NA,2.55294117647059,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel - pilot scale","","Start charactyerisation used","",0.823529411764706,26,7.65912280701754,0.0124077845482525,0.00530847852763179,0.0355296824023548,0.015200824562435,2.55294117647059,0.411764705882353,0.607843137254902,205.753183942104,71.8537573052267,480.917679742316,167.947545607463
"Petersen et al. 2013","SGS","","Pig","","","","Slurry","Denmark","Summer+rain","Tank","Walled","PVC","Pilot",4.3,6.3,8.5,7.2,15,NA,NA,1.64705882352941,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel - pilot scale","","Start charactyerisation used","",0.823529411764706,27,7.65912280701754,0.0127826762055045,0.00546887011929518,0.03660425050295,0.0156605618883294,1.64705882352941,0.261437908496732,0.383036935704514,128.850860105504,44.9963815922599,301.169855491409,105.17239644874
"Balsari et al. 2007","SGS","JL","Pig","","","","Slurry","Italy","Sep","Tank","Walled","Concrete","Full (314 m^3)",1.2,3.5,3.7,7.8,14.2,"15.1",NA,1.31764705882353,"g NH3 m-2 d-1","Dynamic chamber","Small dynamic chamber","","","",0.823529411764706,35,7.65912280701754,0.0151241824896388,0.0062319794005052,0.0109712827308763,0.00452076057815222,1.31764705882353,0.376470588235294,1.09803921568627,87.1218698746998,120.09963567116,211.433153761181,291.465791219161
"Balsari et al. 2007","SGS","JL","Pig","","","","Slurry","Italy","Jan","Tank","Walled","Concrete","Full (314 m^3)",1.1,3.6,3.9,7.7,6.3,"6.0",NA,0.658823529411765,"g NH3 m-2 d-1","Dynamic chamber","Small dynamic chamber","","","",0.823529411764706,36,7.65912280701754,0.00604574161885887,0.00169963950327222,0.00550526835235034,0.00154769623937967,0.658823529411765,0.183006535947712,0.598930481283422,108.973153493139,119.671465084985,387.625451246201,425.680125497899
"Balsari et al. 2007","SGS","JL","Pig","","","","Slurry","Italy","May","Tank","Walled","Concrete","Full (314 m^3)",1.1,3.6,4.1,7.4,14,"15.6",NA,1.23529411764706,"g NH3 m-2 d-1","Dynamic chamber","Small dynamic chamber","","","",0.823529411764706,37,7.65912280701754,0.00555064763347022,0.0022657059331077,0.0100404889066864,0.00409840378805655,1.23529411764706,0.343137254901961,1.12299465240642,222.549547227296,123.031271597185,545.213789484453,301.408592595712
"Balsari et al. 2007","SGS","JL","Pig","","","","Slurry","Italy","June","Tank","Walled","Concrete","Full (314 m^3)",1.4,3.3,3.8,7.7,24.8,"25.5",NA,2.05882352941176,"g NH3 m-2 d-1","Dynamic chamber","Small dynamic chamber","","","",0.823529411764706,38,7.65912280701754,0.0297439495967038,0.0198480458141677,0.0271218634642788,0.0180983358263982,2.05882352941176,0.623885918003565,1.47058823529412,69.218229499687,75.9101059602103,103.729281395661,113.757615570862
"Balsari et al. 2007","SGS","JL","Pig","","","","Slurry","Italy","June","Tank","Walled","Concrete","Full (314 m^3)",1.4,3.3,3.8,7.7,24.8,"25.5",NA,8.64705882352941,"g NH3 m-2 d-1","Wind tunnel","Wind tunnel","","","",0.823529411764706,39,7.65912280701754,0.0297439495967038,0.0198480458141677,0.0271218634642788,0.0180983358263982,8.64705882352941,2.62032085561497,6.17647058823529,290.716563898685,318.822445032883,435.662981861775,477.781985397619
"Loyon et al. 2007","SGS","JL","Pig","","","","Slurry","France","Autumn","Tank","ND","ND","Full",3.2,4.8,4.57,7.8,8,NA,NA,0.5,"g NH3-N m-2 d-1","Dynamic chamber","Dynamic chamber","JL changed method","","",1,40,7.65912280701754,0.0221540275779753,0.00677418685971734,0.0160461589548522,0.00490654255793021,0.5,0.104166666666667,0.15625,22.5692596183766,31.1601051321261,73.8095966872787,101.904751481646
"Loyon et al. 2007","SGS","JL","Pig","","","","Slurry","France","Summer","Tank","","","Full",2.8,4.1,4.52,7.8,23,NA,NA,3.5,"g NH3-N m-2 d-1","Dynamic chamber","Dynamic chamber","JL changed method","","",1,41,7.65912280701754,0.0604501927883772,0.0372552328662037,0.0439549341114695,0.0270892652348379,3.5,0.853658536585366,1.25,57.8989055047803,79.627010499527,93.9465339693271,129.202470781631
"Grant and Boehm 2018","SGS","JL","Pig","","","","Slurry","USA","Spring","Tank","Walled","Concrete","Full",3,3.85,1.8,7.5,12.7,NA,4,9.88235294117647,"g NH3 m-2 h-1","Micromet","Micromet","JL changed temperatures to those from Table 3, matching seasonal emissions","Problem in relating climate and slurry to emission during seasons","",19.7647058823529,43,7.65912280701754,0.0148391344573048,0.00569535152866114,0.0213598829491389,0.00819805510600492,9.88235294117647,2.5668449197861,3.29411764705882,665.965590487099,462.659508233628,1735.16119091943,1205.45090431727
"Grant and Boehm 2018","SGS","JL","Pig","","","","Slurry","USA","Summer","Tank","Walled","Concrete","Full",3.5,4.75,4.3,7,21.2,NA,4,19.7647058823529,"g NH3 m-2 h-1","Micromet","Micromet","JL changed temperatures to those from Table 3, matching seasonal emissions","Problem in relating climate and slurry to emission during seasons","",19.7647058823529,44,7.65912280701754,0.010336925825808,0.00587818213387636,0.0466835795076294,0.0265470206163246,19.7647058823529,4.1609907120743,5.64705882352941,1912.0487285501,423.375972682704,3362.38405551397,744.516914647627
