Reference,Entered by,Checked by,Animal,Animal sub,Treatment 1,Treatment 2,Detailed description,Country,Season/rain,Storage description,Laboratory ,Storage material,Scale,TAN concentration,TN concentration,Dry matter concentration,pH,Air temp,Slurry temp,Wind speed,Emission from uncovered slurry,Emission units,Measurement method,Measurement method description,Notes 1,Notes 2,Notes 3
Leytem et al. 2018,SGS,AP,Cattle,Dairy,dry lot,,Slurry,USA,june-may,Lagoons,Lagoon,,Full,0.1,0.142,,8.2,18.3,15,4,12.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
Leytem et al. 2018,SGS,AP,Cattle,Dairy,freestall,,Slurry,USA,may-may,Lagoons,Lagoon,,Full,0.6,0.756,,7.9,16,17,4.3,43.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
Leytem et al. 2018,SGS,AP,Cattle,Dairy,dry lot,,Slurry,USA,July-Nov,Lagoons,Lagoon,,Full,0.1,0.266,,8.3,15.7,16,4.3,24.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
Leytem et al. 2018,SGS,AP,Cattle,Dairy,dry lot,,Slurry,USA,Nov-Nov,Lagoons,Lagoon,,Full,0.2,0.378,,8.2,14.5,15,3.6,26.0,kg NH3 ha-1 d-1,Micromet,Micromet,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 1,,NH4HCO3 solution,,,Tank,,,Pilot,6.3,,0,9.06,2.9,,8.2,132.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 2,,NH4HCO3 solution,,,Tank,,,Pilot,,,,8.98,2.1,,6.9,98.4,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 3,,NH4HCO3 solution,,,Tank,,,Pilot,,,,8.9,3.2,,5.5,46.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 4,,NH4HCO3 solution,,,Tank,,,Pilot,,,,8.79,1.9,,3.5,39.4,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 5,,NH4HCO3 solution,,,Tank,,,Pilot,4.11,,,8.72,0.3,,2.8,23.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 6,,NH4HCO3 solution,,,Tank,,,Pilot,4.37,,,8.93,11.4,,7.8,64.4,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 7,,NH4HCO3 solution,,,Tank,,,Pilot,3.62,,,8.76,12,,9.4,94.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 8,,NH4HCO3 solution,,,Tank,,,Pilot,2.89,,,8.63,12.2,,7,66.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 9,,NH4HCO3 solution,,,Tank,,,Pilot,2.5,,,8.59,13.9,,5.6,22.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 10,,NH4HCO3 solution,,,Tank,,,Pilot,2.1,,,8.89,11.4,,3.5,20.7,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 11,,NH4HCO3 solution,,,Tank,,,Pilot,0.38,,,8.89,10.8,,2.8,9.9,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Ammonium-Bicarbonate solution,,Exp 12,Problematic data,NH4HCO3 solution,,,Tank,,,Pilot,0.61,,,8.54,9.5,,4.3,1.5,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 13,,Slurry,,,Tank,,,Full,1.8,,,7.6,6.7,,2.7,4.2,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 14,,Slurry,,,Tank,,,Full,1.85,,,7.6,8.9,,3.8,4.0,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 15,,Slurry,,,Tank,,,Full,2.38,,,7.4,3.6,,4.8,0.33,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 16,,Slurry,,,Tank,,,Full,1.92,,,7.31,5.2,,3.1,1.79,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 17,,Slurry,,,Tank,,,Full,2.06,,,7.25,4.1,,4.6,0.46,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 18,,Slurry,,,Tank,,,Full,2.2,,,7.2,5.2,,8.7,1.13,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 19,,Slurry,,,Tank,,,Full,1.64,,,7.47,3.8,,8,2.6,g NH3-N m-2 d-1,Micromet,,,,
Sommer et al. 1996,SGS,AL,Cattle slurry,,Exp 20,,Slurry,,,Tank,,,Full,1.84,,,7.68,3.4,,3.1,2,g NH3-N m-2 d-1,Micromet,,,,
