Reference,Entered by,Checked by,Animal,Animal sub,Treatment 1,Treatment 2,Detailed description,Country,Season/rain,Storage description,Laboratory ,Storage material,Scale,TAN concentration,TN concentration,Dry matter concentration,pH,Air temp,Slurry temp,Wind speed,Emission from uncovered slurry,Emission units,Measurement method,Measurement method description,Notes 1,Notes 2,Notes 3
Balsari et al. 2007,SGS,JL,Pig,,,,Slurry,Italy,June,Tank,Walled,Concrete,Full (314 m^3),1.4,3.3,3.8,7.7,24.8,25.5,,10.5,g NH3 m-2 d-1,Wind tunnel,Wind tunnel,,,
Loyon et al. 2007,SGS,JL,Pig,,,,Slurry,France,Autumn,Tank,ND,ND,Full,3.2,4.800,4.570,7.8,8.0,nd,,0.5,g NH3-N m-2 d-1,Dynamic chamber,Dynamic chamber,JL changed method,,
Loyon et al. 2007,SGS,JL,Pig,,,,Slurry,France,Summer,Tank,,,Full,2.8,4.100,4.520,7.8,23.0,nd,,3.5,g NH3-N m-2 d-1,Dynamic chamber,Dynamic chamber,JL changed method,,
Grant and Boehm 2018,SGS,JL,Pig,,,,Slurry,USA,Winter,Tank,Walled,Concrete,Full,nd,nd,nd,nd,-5.8,nd,5.0,0.1,g NH3 m-2 h-1,Micromet,Micromet,"JL changed temperatures to those from Table 3, matching seasonal emissions",Problem in relating climate and slurry to emission during seasons,
Grant and Boehm 2018,SGS,JL,Pig,,,,Slurry,USA,Spring,Tank,Walled,Concrete,Full,3.0,3.850,1.800,7.5,12.7,nd,4.0,0.5,g NH3 m-2 h-1,Micromet,Micromet,"JL changed temperatures to those from Table 3, matching seasonal emissions",Problem in relating climate and slurry to emission during seasons,
Grant and Boehm 2018,SGS,JL,Pig,,,,Slurry,USA,Summer,Tank,Walled,Concrete,Full,3.5,4.750,4.300,7.0,21.2,nd,4.0,1.0,g NH3 m-2 h-1,Micromet,Micromet,"JL changed temperatures to those from Table 3, matching seasonal emissions",Problem in relating climate and slurry to emission during seasons,
Grant and Boehm 2018,SGS,JL,Pig,,,,Slurry,USA,Autumn,Tank,Walled,Concrete,Full,nd,nd,nd,nd,11.3,nd,3.0,0.2,g NH3 m-2 h-1,Micromet,Micromet,JL inserted this row,,
Sommer 1997,SGS,JL,,,Anaerobic digestion,,Digestate,Denmark,Whole year,Tank,Walled,Concrete,Full,2.1,3.0,,8.0,10.0,nd,4.0,4.0,kg NH3 m-2 y-1,Micromet,Micromet mass-balance,JL corrected TAN and TN (were from covered); added factor 17/14,,
Baldé et al. 2018,SGS,JL,Cattle,Dairy,Anaerobic digestion,Separation,Liquid fraction,Canada,Whole year,Tank,Walled,,Full (2600 m^3),3.120,3.200,3.900,7.9,7.0,nd,,5.600,kg NH3 m-2 y-1,Micromet,Micromet. Annual a very average temp. Is assumed by SGSommer,JL corrected temperature to mean of annual range given in paper,,
Baldé et al. 2018,SGS,JL,Cattle,Dairy,Anaerobic digestion,,Digestate,Canada,Whole year,Lagoon,Lagoon,,Full,1.542,3.400,4.700,7.4,7.0,nd,,3.600,kg NH3 m-2 y-1,Micromet,Micromet. Annual a very average temp. Is assumed by SGSommer,JL corrected temperature to mean of annual range given in paper,,
